player_name,origin_club,origin_league,season,position,matches_played,matches_started,minutes,minutes_per_appearance,xg90,npxg90,xa90,goals90,assists90,tackles90,interceptions90,clearances90,shots_blocked90,crosses90,cards90,saves90,save_pct,goals_conceded90,clean_sheet_pct,captured_at,source_file
Bobby Thomas,Coventry City,EFL Championship,2025/26,Defender - Center Back,33,33,2924,89,0.14,0.14,0.21,0.09,0.15,1.02,0.86,5.63,0.92,0.4,0.25,,,0.95,30,2026-08-05,"Bobby Thomas Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Brandon Thomas Asante,Coventry City,EFL Championship,2025/26,Forward - Center Forward,32,21,1865,58,0.61,0.57,0.17,0.63,0.19,0.68,0.82,0.58,0.14,1.11,0,,,0.63,41,2026-08-05,"Brandon Thomas-Asante Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Carl Rushworth,Coventry City,EFL Championship,2025/26,Goalkeeper - Goalkeeper,46,46,4140,90,0,0,0.07,0,0.02,0.04,0.02,0.76,0.02,0,0.04,2.65,73.05,0.91,37,2026-08-05,Carl Rushworth Stats - Clean Sheets & Saves Data _ FootyStats.pdf
Ellis Simms,Coventry City,EFL Championship,2025/26,Forward - Center Forward,43,15,1627,38,0.77,0.77,0.15,0.72,0.17,0.28,0.11,1,0.17,0.44,0.06,,,1.05,37,2026-08-05,"Ellis Simms Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Ephron Mason Clark,Coventry City,EFL Championship,2025/26,Midfielder - Left Midfield,42,36,2994,71,0.35,0.35,0.21,0.3,0.18,1.34,0.15,0.36,0,2.26,0.09,,,1.08,31,2026-08-05,"Ephron Mason-Clark Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Frank Onyeka,Coventry City,EFL Championship,2025/26,Midfielder - Central Midfield,6,0,87,15,0,0,0.64,0,1.03,2.05,0,3.07,0,0,0,,,1.03,17,2026-08-05,"Frank Onyeka Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Haji Wright,Coventry City,EFL Championship,2025/26,Forward - Center Forward,40,31,2594,65,0.61,0.57,0.06,0.59,0.03,0.42,0.07,0.97,0.14,0.38,0.14,,,0.83,38,2026-08-05,"Haji Wright Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Jack Rudoni,Coventry City,EFL Championship,2025/26,Midfielder - Attacking Midfield,30,24,2109,70,0.35,0.35,0.3,0.3,0.3,1.07,0.43,0.85,0.17,4.56,0,,,1.11,27,2026-08-05,"Jack Rudoni Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Jahnoah Markelo,Coventry City,EFL Championship,2025/26,Forward - Right Wing,14,11,950,68,0.34,0.27,0.29,0.19,0.28,1.14,0.28,0.28,0,4.45,0.47,,,1.8,7,2026-08-05,"Jahnoah Markelo Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Jake Bidwell,Coventry City,EFL Championship,2025/26,Defender - Left Back,11,3,424,39,0.06,0.06,0.22,0,0.21,1.27,0.85,3.82,1.06,2.97,0.21,,,0.85,55,2026-08-05,"Jake Bidwell Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Jay Dasilva,Coventry City,EFL Championship,2025/26,Defender - Left Back,42,41,3552,85,0.02,0.02,0.17,0,0.08,1.85,1.06,1.9,0.23,2.64,0.2,,,0.89,36,2026-08-05,"Jay Dasilva Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Joel Latibeaudiere,Coventry City,EFL Championship,2025/26,Defender - Center Back,15,15,1275,85,0.02,0.02,0.14,0,0.07,0.85,0.85,5.36,1.13,0.14,0.21,,,0.56,47,2026-08-05,"Joel Latibeaudiere Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Josh Eccles,Coventry City,EFL Championship,2025/26,Midfielder - Central Midfield,34,19,1515,45,0.36,0.36,0.15,0.24,0.06,1.43,0.59,0.95,0.12,1.37,0.36,,,1.19,35,2026-08-05,"Josh Eccles Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Kai Andrews,Coventry City,EFL Championship,2025/26,Midfielder - Central Midfield,11,1,302,27,0.24,0.24,0.26,0.3,0.3,1.51,0.3,1.51,0.3,0.3,0.3,,,0.89,45,2026-08-05,"Kai Andrews Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Kaine Kessler,Coventry City,EFL Championship,2025/26,Defender - Right Back,22,5,581,26,0.28,0.28,0.2,0.31,0.15,3.03,1.52,4.09,0.3,1.97,0.15,,,0.93,36,2026-08-05,"Kaine Kessler Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Liam Kitching,Coventry City,EFL Championship,2025/26,Defender - Center Back,38,37,3338,88,0.13,0.13,0.1,0.05,0,1.11,1.05,6.09,0.57,0.38,0.19,,,1.02,34,2026-08-05,"Liam Kitching Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Luke Woolfenden,Coventry City,EFL Championship,2025/26,Defender - Center Back,17,11,1072,63,0.03,0.03,0.13,0,0,1.17,1.01,6.12,1.09,0.17,0.17,,,0.76,53,2026-08-05,"Luke Woolfenden Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Matt Grimes,Coventry City,EFL Championship,2025/26,Midfielder - Defensive Midfield,46,46,4126,90,0.07,0.06,0.25,0.04,0.04,1.72,0.74,1.46,0.52,6.11,0.11,,,0.92,37,2026-08-05,"Matt Grimes Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Miguel Angel Brau Blanquez,Coventry City,EFL Championship,2025/26,Defender - Left Back,9,1,195,22,0.05,0.05,0.05,0,0,1.84,0,3.21,0.46,2.3,0,,,1.38,44,2026-08-05,"Miguel Ángel Brau Blanquez Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Milan van Ewijk,Coventry City,EFL Championship,2025/26,Defender - Right Back,44,43,3784,86,0.03,0.03,0.21,0,0.19,2.31,1.33,2.57,0.31,2.62,0.19,,,0.9,39,2026-08-05,"Milan van Ewijk Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Raphael Borges Rodrigues,Coventry City,EFL Championship,2025/26,Forward - Left Wing,2,0,34,17,0,0,1.93,0,2.65,2.65,0,5.29,0,0,0,,,0,0,2026-08-05,"Raphael Borges Rodrigues Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Tatsuhiro Sakamoto,Coventry City,EFL Championship,2025/26,Forward - Right Wing,35,29,2498,71,0.27,0.27,0.15,0.25,0.11,1.51,0.29,0.72,0.07,2.85,0.14,,,0.86,43,2026-08-05,"Tatsuhiro Sakamoto Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Victor Torp,Coventry City,EFL Championship,2025/26,Midfielder - Central Midfield,39,25,2321,60,0.44,0.41,0.29,0.39,0.27,1.43,0.97,1.35,0.39,3.55,0.16,,,0.85,38,2026-08-05,"Victor Torp Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Abu Kamara,Hull City,EFL Championship,2025/26,Forward - Right Wing,12,1,246,21,0.11,0.11,0.07,0,0,1.46,1.09,0.36,0.36,3.28,0.37,,,0.73,17,2026-08-05,"Abu Kamara Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Amir Hadziahmetovic,Hull City,EFL Championship,2025/26,Midfielder - Defensive Midfield,37,26,2129,58,0.02,0.02,0.16,0,0.08,2.28,0.89,2.07,0.42,2.28,0.04,,,1.1,27,2026-08-05,"Amir Hadžiahmetović Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Babajide David Akintola,Hull City,EFL Championship,2025/26,Forward - Right Wing,20,5,501,25,0.24,0.24,0.29,0.18,0.36,2.16,0.36,1.62,0,1.08,0.72,,,1.44,20,2026-08-05,"Babajide David Akintola Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Cathal McCarthy,Hull City,EFL Championship,2025/26,Defender - Center Back,6,1,226,38,0.02,0.02,0.07,0,0,1.97,1.58,4.74,1.18,0,0.4,,,1.59,33,2026-08-05,"Cathal McCarthy Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Darko Gyabi,Hull City,EFL Championship,2025/26,Midfielder - Central Midfield,20,6,689,34,0.25,0.25,0.08,0.26,0,2.09,0.39,0.91,0.13,0.26,0,,,1.04,25,2026-08-05,"Darko Gyabi Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Dillon Phillips,Hull City,EFL Championship,2025/26,Goalkeeper - Goalkeeper,1,1,90,90,0,0,0.05,0,0,0,0,2,0,0,0,3,75,1,0,2026-08-05,Dillon Phillips Stats - Clean Sheets & Saves Data _ FootyStats.pdf
Eliot Matazo,Hull City,EFL Championship,2025/26,Midfielder - Central Midfield,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2026-08-05,"Eliot Matazo Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Enis Destan,Hull City,EFL Championship,2025/26,Forward - Center Forward,2,1,84,42,0.2,0.2,0.03,0,0,0,0,2.81,0,0,1.07,,,2.14,50,2026-08-05,"Enis Destan Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
John Egan,Hull City,EFL Championship,2025/26,Defender - Center Back,45,42,3690,82,0.09,0.09,0.08,0.07,0,1.49,0.98,6.32,1.12,0.1,0.22,,,1.27,27,2026-08-05,"John Egan Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Kieran Dowell,Hull City,EFL Championship,2025/26,Midfielder - Attacking Midfield,2,1,124,62,0,0,0.21,0,0,0.73,2.18,0.73,0,7.98,0.73,,,0.73,0,2026-08-05,"Kieran Dowell Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
