player_name,fpl_id,curr_club,position
"Chuba Akpom",320,"Ipswich Town",Forward
"Costinha",119,"Brighton",Defender
"Ewen Jaouen",444,"Newcastle",Goalkeeper
"Cédric Kipré",303,"Ipswich Town",Defender
"Joao Gomes",54,"Aston Villa",Midfielder
"Christos Tzolis",557,"Arsenal",Midfielder
"Tyrique George",242,"Everton",Midfielder
"Bazoumana Touré",461,"Newcastle",Midfielder
"Hayden Hackney",247,"Everton",Midfielder
"Mateus Fernandes",525,"Spurs",Midfielder
"Michael Svoboda",120,"Brighton",Defender
"Marco Palestra",152,"Chelsea",Defender
"Jeremy Jacquet",362,"Liverpool",Defender
"Geovany Quenda",164,"Chelsea",Midfielder
"Victor Muñoz",377,"Liverpool",Midfielder
"Jack Rudoni",183,"Coventry City",Midfielder
"Ellis Simms",195,"Coventry City",Forward
"Haji Wright",193,"Coventry City",Forward
"Liam Kitching",174,"Coventry City",Defender
"Joel Latibeaudiere",179,"Coventry City",Defender
"Jay Dasilva",176,"Coventry City",Defender
"Ben Wilson",172,"Coventry City",Goalkeeper
"Milan van Ewijk",175,"Coventry City",Defender
"Jack Clarke",313,"Ipswich Town",Midfielder
"Sam Szmodics",319,"Ipswich Town",Midfielder
"Leif Davis",305,"Ipswich Town",Defender
"Luke Woolfenden",180,"Coventry City",Defender
"Omari Hutchinson",484,"Nott'm Forest",Midfielder
"Jaden Philogene",318,"Ipswich Town",Midfielder
"Regan Slater",290,"Hull City",Midfielder
"Jacob Greaves",306,"Ipswich Town",Defender
"Ryan Giles",282,"Hull City",Defender
"Matt Crooks",289,"Hull City",Midfielder
"Aurèle Amenda",182,"Coventry City",Defender
"Kaine Andrews",192,"Coventry City",Midfielder
"Norman Bassette",197,"Coventry City",Forward
"Jake Bidwell",178,"Coventry City",Defender
"Raphael Borges Rodrigues",191,"Coventry City",Midfielder
"Miguel Brau",181,"Coventry City",Defender
"Oliver Dovin",171,"Coventry City",Goalkeeper
"Josh Eccles",187,"Coventry City",Midfielder
"Matt Grimes",184,"Coventry City",Midfielder
"Kaine Kesler-Hayden",177,"Coventry City",Defender
"Jahnoah Markelo",196,"Coventry City",Forward
"Ephron Mason-Clark",186,"Coventry City",Midfielder
"Frank Onyeka",104,"Coventry City",Midfielder
"Carl Rushworth",110,"Coventry City",Goalkeeper
"Tatsuhiro Sakamoto",185,"Coventry City",Midfielder
"George Shepherd",189,"Coventry City",Midfielder
"Loum Tchaouna",190,"Coventry City",Midfielder
"Bobby Thomas",173,"Coventry City",Defender
"Brandon Thomas-Asante",194,"Coventry City",Forward
"Victor Torp",188,"Coventry City",Midfielder
"Semi Ajayi",279,"Hull City",Defender
"David Akintola",296,"Hull City",Midfielder
"Mohamed Belloumi",286,"Hull City",Midfielder
"Mason Burstow",299,"Hull City",Forward
"Jack Butland",274,"Hull City",Goalkeeper
"Harvey Cartwright",275,"Hull City",Goalkeeper
"Lewie Coyle",280,"Hull City",Defender
"Enis Destan",298,"Hull City",Forward
"Kieran Dowell",288,"Hull City",Midfielder
"Cody Drameh",281,"Hull City",Defender
"John Egan",277,"Hull City",Defender
"Darko Gyabi",297,"Hull City",Midfielder
"Charlie Hughes",278,"Hull City",Defender
"Matty Jacob",283,"Hull City",Defender
"Abu Kamara",293,"Hull City",Midfielder
"Thimothée Lo-Tutala",276,"Hull City",Goalkeeper
"Eliot Matazo",291,"Hull City",Midfielder
"Oli McBurnie",295,"Hull City",Forward
"Cathal McCarthy",284,"Hull City",Defender
"Paddy McNair",285,"Hull City",Defender
"Liam Millar",287,"Hull City",Midfielder
"Hidemasa Morita",563,"Hull City",Midfielder
"Abdülkadir Ömür",292,"Hull City",Midfielder
"Dillon Phillips",273,"Hull City",Goalkeeper
"Matt Targett",556,"Hull City",Defender
"Óscar Zambrano",294,"Hull City",Midfielder
"Ali Al-Hamadi",322,"Ipswich Town",Forward
"Wes Burns",311,"Ipswich Town",Midfielder
"David Button",302,"Ipswich Town",Goalkeeper
"Emersonn",316,"Ipswich Town",Forward
"Issa Diop",259,"Ipswich Town",Defender
"Abdul Fatawu",315,"Ipswich Town",Midfielder
"Darnell Furlong",308,"Ipswich Town",Defender
"George Hirst",317,"Ipswich Town",Forward
"Ben Johnson",307,"Ipswich Town",Defender
"Daizen Maeda",562,"Ipswich Town",Midfielder
"Azor Matusiwa",310,"Ipswich Town",Midfielder
"Kasey McAteer",323,"Ipswich Town",Midfielder
"Anis Mehmeti",324,"Ipswich Town",Midfielder
"Marcelino Núñez",309,"Ipswich Town",Midfielder
"Dara O'Shea",304,"Ipswich Town",Defender
"Chiedozie Ogbene",314,"Ipswich Town",Midfielder
"Alex Palmer",301,"Ipswich Town",Goalkeeper
"Kjell Scherpen",564,"Ipswich Town",Goalkeeper
"Jack Taylor",312,"Ipswich Town",Midfielder
"Kayne van Oevelen",554,"Ipswich Town",Goalkeeper
"Sindre Walle Egeli",321,"Ipswich Town",Forward
"Christian Walton",300,"Ipswich Town",Goalkeeper
